content_id,content_type,upload_date,upload_time,video_views,likes,comments,shares,watch_time,completion_rate,followers_gained,engagement_total,engagement_rate,upload_hour,like_rate,comment_rate,share_rate,engagement_score,upload_category,day_name,day_type,cluster,performance_category
VID017,berita_human_interest,4/28/2026,5/13/2026 20:00,171000,1913,65,290,1204280,0.109,38,2268,0.013263158,20,0.011187135,0.000380117,0.001695906,2913,Sore,Tuesday,Weekday,0,Rendah
VID018,berita_kriminal,4/27/2026,5/13/2026 15:00,281000,4119,54,268,3531952,0.121,89,4441,0.01580427,15,0.014658363,0.000192171,0.000953737,5031,Siang,Monday,Weekday,2,Sedang
VID019,berita_peristiwa,4/21/2026,5/13/2026 18:10,186000,3926,78,376,2189045,0.103,42,4380,0.023548387,18,0.021107527,0.000419355,0.002021505,5210,Sore,Tuesday,Weekday,2,Sedang
VID020,berita_peristiwa,4/11/2026,5/13/2026 14:00,129000,1083,57,100,1200705,0.107,47,1240,0.009612403,14,0.008395349,0.00044186,0.000775194,1497,Siang,Saturday,Weekend,0,Rendah
VID021,berita_peristiwa,3/28/2026,5/13/2026 18:10,128000,2229,45,143,1759004,0.171,25,2417,0.018882813,18,0.017414063,0.000351563,0.001117188,2748,Sore,Saturday,Weekend,2,Sedang
VID022,berita_peristiwa,3/27/2026,5/13/2026 21:00,109000,1394,54,67,1766129,0.026,17,1515,0.013899083,21,0.012788991,0.000495413,0.000614679,1703,Malam,Friday,Weekday,0,Rendah
VID023,berita_aktual,3/14/2026,5/13/2026 18:51,106000,2391,71,48,807040,0.03,83,2510,0.023679245,18,0.022556604,0.000669811,0.00045283,2677,Sore,Saturday,Weekend,0,Rendah
VID024,berita_peristiwa,3/7/2026,5/13/2026 23:00,135000,2850,59,178,2679690,0.067,92,3087,0.022866667,23,0.021111111,0.000437037,0.001318519,3502,Malam,Saturday,Weekend,2,Sedang
VID025,berita_kriminal,3/6/2026,5/13/2026 18:30,114000,663,34,16,985680,0.453,29,713,0.006254386,18,0.005815789,0.000298246,0.000140351,779,Sore,Friday,Weekday,2,Sedang
VID026,berita_peristiwa,2/28/2026,5/13/2026 17:24,164000,5546,101,299,2157641,0.115,37,5946,0.036256098,17,0.033817073,0.000615854,0.001823171,6645,Sore,Saturday,Weekend,2,Sedang
VID027,berita_peristiwa,2/25/2026,5/13/2026 23:00,133000,2842,32,124,2033653,0.163,56,2998,0.022541353,23,0.021368421,0.000240602,0.000932331,3278,Malam,Wednesday,Weekday,2,Sedang
VID028,berita_sosial,2/23/2026,5/13/2026 21:00,113000,2285,56,162,976154,0.088,30,2503,0.022150442,21,0.020221239,0.000495575,0.001433628,2883,Malam,Monday,Weekday,2,Sedang
VID029,berita_kriminal,2/23/2026,5/13/2026 15:35,363000,8246,223,2280,5215965,0.2,157,10749,0.02961157,15,0.022716253,0.000614325,0.006280992,15532,Siang,Monday,Weekday,2,Sedang
VID030,berita_kriminal,2/18/2026,5/13/2026 18:00,123000,4240,79,300,1844556,0.134,35,4619,0.037552846,18,0.034471545,0.000642276,0.002439024,5298,Sore,Wednesday,Weekday,2,Sedang
VID031,berita_aktual,1/28/2026,5/13/2026 17:45,115000,3742,172,105,1851698,0.003,27,4019,0.034947826,17,0.03253913,0.001495652,0.000913043,4401,Sore,Wednesday,Weekday,2,Sedang
VID032,berita_peristiwa,1/28/2026,5/13/2026 15:45,119000,3663,100,247,1113356,0.033,33,4010,0.033697479,15,0.030781513,0.000840336,0.00207563,4604,Siang,Wednesday,Weekday,2,Sedang
VID033,berita_peristiwa,1/19/2026,5/13/2026 14:30,102000,2603,49,254,716762,0.033,42,2906,0.028490196,14,0.025519608,0.000480392,0.002490196,3463,Siang,Monday,Weekday,2,Sedang
VID034,berita_human_interest,1/16/2026,5/13/2026 15:00,160000,12000,190,651,1958326,0.072,170,12841,0.08025625,15,0.075,0.0011875,0.00406875,14333,Siang,Friday,Weekday,2,Sedang
VID035,berita_human_interest,1/12/2026,5/13/2026 17:05,102000,3239,80,152,1347111,0.055,16,3471,0.034029412,17,0.031754902,0.000784314,0.001490196,3855,Sore,Monday,Weekday,2,Sedang
VID036,berita_edukasi,12/25/2025,5/13/2026 18:00,29000,1163,54,66,301844,0.171,17,1283,0.044241379,18,0.040103448,0.001862069,0.002275862,1469,Sore,Thursday,Weekday,2,Sedang
VID037,berita_hiburan,12/29/2025,5/13/2026 22:00,15000,270,35,7,107500,0.018,5,312,0.0208,22,0.018,0.002333333,0.000466667,361,Malam,Monday,Weekday,0,Rendah
VID038,berita_hiburan,12/23/2025,5/13/2026 19:00,19000,551,20,12,94472,0.132,5,583,0.030684211,19,0.029,0.001052632,0.000631579,627,Sore,Tuesday,Weekday,2,Sedang
VID039,berita_aktual,12/19/2025,5/13/2026 14:22,35000,968,34,21,240600,0.018,19,1023,0.029228571,14,0.027657143,0.000971429,0.0006,1099,Siang,Friday,Weekday,2,Sedang
VID040,berita_kriminal,12/12/2025,5/13/2026 12:10,13000,196,20,2,114345,0.046,8,218,0.016769231,12,0.015076923,0.001538462,0.000153846,242,Siang,Friday,Weekday,0,Rendah
VID041,berita_edukasi,12/10/2025,5/13/2026 20:00,26000,407,40,155,149988,0.099,6,602,0.023153846,20,0.015653846,0.001538462,0.005961538,952,Sore,Wednesday,Weekday,2,Sedang
VID042,berita_aktual,12/9/2025,5/13/2026 22:00,14000,172,14,20,149781,0.006,8,206,0.014714286,22,0.012285714,0.001,0.001428571,260,Malam,Tuesday,Weekday,0,Rendah
VID043,berita_hiburan,12/6/2025,5/13/2026 19:00,13000,221,19,28,115174,0.096,3,268,0.020615385,19,0.017,0.001461538,0.002153846,343,Sore,Saturday,Weekend,2,Sedang
VID044,berita_hiburan,11/29/2025,5/13/2026 20:00,11000,209,25,90,67927,0.033,4,324,0.029454545,20,0.019,0.002272727,0.008181818,529,Sore,Saturday,Weekend,2,Sedang
VID045,berita_human_interest,11/26/2025,5/13/2026 18:00,47000,419,26,5,197883,0.026,5,450,0.009574468,18,0.008914894,0.000553191,0.000106383,486,Sore,Wednesday,Weekday,0,Rendah
VID046,berita_hiburan,11/25/2025,5/13/2026 19:00,19000,321,8,42,126208,0.116,4,371,0.019526316,19,0.016894737,0.000421053,0.002210526,463,Sore,Tuesday,Weekday,2,Sedang
VID047,berita_kriminal,11/25/2025,5/13/2026 23:30,32000,372,16,17,461705,0.053,9,405,0.01265625,23,0.011625,0.0005,0.00053125,455,Malam,Tuesday,Weekday,0,Rendah
VID048,berita_hiburan,11/24/2025,5/13/2026 19:30,24000,423,17,21,139385,0.134,6,461,0.019208333,19,0.017625,0.000708333,0.000875,520,Sore,Monday,Weekday,2,Sedang
VID049,berita_peristiwa,11/21/2025,5/13/2026 14:00,32000,728,59,14,338886,0.103,13,801,0.02503125,14,0.02275,0.00184375,0.0004375,888,Siang,Friday,Weekday,2,Sedang
VID050,berita_hiburan,11/14/2025,5/13/2026 21:00,52000,1960,32,11,640075,0.059,11,2003,0.038519231,21,0.037692308,0.000615385,0.000211538,2057,Malam,Friday,Weekday,2,Sedang
VID051,review_coffeeshop,4/25/2026,5/13/2026 17:52,7524,34,7,2,17284,0.003,1,43,0.005715045,17,0.004518873,0.000930356,0.000265816,54,Sore,Saturday,Weekend,0,Rendah
VID052,review_umkm,2/1/2023,5/13/2026 16:01,9117,104,11,30,96861,0.004,11,145,0.015904355,16,0.011407261,0.001206537,0.003290556,216,Siang,Wednesday,Weekday,0,Rendah
VID053,review_coffeeshop,4/13/2021,5/13/2026 12:05,32000,232,1,5,57600,0.021,4,238,0.0074375,12,0.00725,3.13E-05,0.00015625,249,Siang,Tuesday,Weekday,0,Rendah
VID054,review_coffeeshop,4/9/2021,5/13/2026 22:53,45000,358,3,20,85500,0.024,6,381,0.008466667,22,0.007955556,6.67E-05,0.000444444,424,Malam,Friday,Weekday,0,Rendah
VID055,review_coffeeshop,3/24/2021,5/13/2026 17:07,101000,772,1,12,212100,0.045,8,785,0.007772277,17,0.007643564,9.90E-06,0.000118812,810,Sore,Wednesday,Weekday,0,Rendah
VID056,dokumentasi_event,12/10/2023,5/13/2026 21:58,7638,69,1,7,44438,0.006,12,77,0.010081173,21,0.009033778,0.000130924,0.00091647,92,Malam,Sunday,Weekend,0,Rendah
VID057,review_destinasi,10/5/2025,5/13/2026 13:37,4800,25,3,0,14931,0.006,2,28,0.005833333,13,0.005208333,0.000625,0,31,Siang,Sunday,Weekend,0,Rendah
VID058,review_destinasi,10/30/2024,5/13/2026 11:23,54000,33,8,2,436102,0.005,5,43,0.000796296,11,0.000611111,0.000148148,3.70E-05,55,Pagi,Wednesday,Weekday,0,Rendah
VID059,review_destinasi,12/26/2023,5/13/2026 20:55,8212,85,4,9,47849,0.028,6,98,0.011933755,20,0.010350706,0.000487092,0.001095957,120,Sore,Tuesday,Weekday,0,Rendah
VID060,review_destinasi,1/23/2022,5/13/2026 19:30,995,9,0,1,1492,0.015,0,10,0.010050251,19,0.009045226,0,0.001005025,12,Sore,Sunday,Weekend,0,Rendah
VID061,review_umkm,9/19/2020,5/13/2026 17:51,11000,73,0,10,14300,0.012,2,83,0.007545455,17,0.006636364,0,0.000909091,103,Sore,Saturday,Weekend,0,Rendah
VID062,review_coffeeshop,8/31/2024,5/13/2026 22:10,2915,18,3,2,19027,0.004,4,23,0.007890223,22,0.006174957,0.00102916,0.000686106,30,Malam,Saturday,Weekend,0,Rendah
VID063,review_coffeeshop,3/4/2022,5/13/2026 18:52,2400,18,1,0,4320,0.018,1,19,0.007916667,18,0.0075,0.000416667,0,20,Sore,Friday,Weekday,0,Rendah
VID064,review_umkm,1/17/2022,5/13/2026 21:41,36000,202,3,742,75600,0.025,10,947,0.026305556,21,0.005611111,8.33E-05,0.020611111,2434,Malam,Monday,Weekday,2,Sedang
VID065,review_coffeeshop,9/29/2023,5/13/2026 12:37,447000,16000,202,2516,5781493,0.034,1400,18718,0.04187472,12,0.035794183,0.000451902,0.005628635,23952,Siang,Friday,Weekday,2,Sedang
VID066,dokumentasi_event,12/13/2021,5/13/2026 22:44,2007,80,2,4,4014,0.012,1,86,0.042850025,22,0.039860488,0.000996512,0.001993024,96,Malam,Monday,Weekday,2,Sedang
VID067,dokumentasi_event,2/14/2026,5/13/2026 12:02,15000,187,8,23,155927,0.007,9,218,0.014533333,12,0.012466667,0.000533333,0.001533333,272,Siang,Saturday,Weekend,0,Rendah
VID068,wawancara_eksklusif,1/17/2026,5/13/2026 22:57,34000,257,14,15,145191,0.001,13,286,0.008411765,22,0.007558824,0.000411765,0.000441176,330,Malam,Saturday,Weekend,0,Rendah
VID069,wawancara_eksklusif,4/1/2026,5/13/2026 7:00,8600,52,8,3,36377,0.003,4,63,0.007325581,7,0.006046512,0.000930233,0.000348837,77,Pagi,Wednesday,Weekday,0,Rendah
VID070,dokumentasi_event,6/27/2023,5/13/2026 14:40,10000,85,0,41,65239,0.018,2,126,0.0126,14,0.0085,0,0.0041,208,Siang,Tuesday,Weekday,0,Rendah
VID071,promosi_produk,8/8/2021,5/13/2026 19:06,8926,117,1,0,10711,0.009,1,118,0.013219807,19,0.013107775,0.000112032,0,119,Sore,Sunday,Weekend,0,Rendah
VID072,promosi_produk,8/20/2021,5/13/2026 19:04,10000,151,0,2,13000,0.011,2,153,0.0153,19,0.0151,0,0.0002,157,Sore,Friday,Weekday,0,Rendah
VID073,tren_tiktok,3/17/2026,5/13/2026 17:52,34000,274,25,15,189096,0.071,16,314,0.009235294,17,0.008058824,0.000735294,0.000441176,369,Sore,Tuesday,Weekday,0,Rendah
VID074,tren_tiktok,3/16/2026,5/13/2026 16:18,56000,856,59,14,388860,0.112,93,929,0.016589286,16,0.015285714,0.001053571,0.00025,1016,Siang,Monday,Weekday,0,Rendah
VID075,tren_tiktok,3/15/2026,5/13/2026 15:32,3900000,135000,1339,4377,32844180,0.147,13000,140716,0.036081026,15,0.034615385,0.000343333,0.001122308,150809,Siang,Sunday,Weekend,2,Sedang
VID076,tren_tiktok,3/12/2026,5/13/2026 18:26,2500000,101000,1161,4812,22825080,0.309,8500,106973,0.0427892,18,0.0404,0.0004644,0.0019248,117758,Sore,Thursday,Weekday,2,Sedang
VID077,tren_tiktok,3/11/2026,5/13/2026 21:53,67000,545,25,40,342797,0.076,29,610,0.009104478,21,0.008134328,0.000373134,0.000597015,715,Malam,Wednesday,Weekday,0,Rendah
VID078,tren_tiktok,3/11/2026,5/13/2026 18:29,47000,329,25,4,225415,0.083,19,358,0.007617021,18,0.007,0.000531915,8.51E-05,391,Sore,Wednesday,Weekday,0,Rendah
VID079,tren_tiktok,3/10/2026,5/13/2026 20:53,22000,172,22,14,92290,0.076,19,208,0.009454545,20,0.007818182,0.001,0.000636364,258,Sore,Tuesday,Weekday,0,Rendah
VID080,tren_tiktok,3/10/2026,5/13/2026 15:49,27000,288,24,19,193978,0.086,45,331,0.012259259,15,0.010666667,0.000888889,0.000703704,393,Siang,Tuesday,Weekday,0,Rendah
VID081,dokumentasi_event,3/6/2026,5/13/2026 22:04,6600,61,11,2,29523,0.002,11,74,0.011212121,22,0.009242424,0.001666667,0.00030303,89,Malam,Friday,Weekday,0,Rendah
VID082,tren_tiktok,1/27/2026,5/13/2026 16:19,7098,56,24,2,29317,0.019,4,82,0.01155255,16,0.007889546,0.003381234,0.00028177,110,Siang,Tuesday,Weekday,0,Rendah
VID083,dokumentasi_event,1/2/2026,5/13/2026 18:13,9632,55,17,8,32460,0.001,3,80,0.008305648,18,0.005710133,0.00176495,0.000830565,113,Sore,Friday,Weekday,0,Rendah
VID084,tren_tiktok,8/29/2025,5/13/2026 17:36,3293,37,5,4,15592,0.101,0,46,0.013969025,17,0.011235955,0.001518372,0.001214698,59,Sore,Friday,Weekday,0,Rendah
VID085,tren_tiktok,8/17/2025,5/13/2026 16:18,1261,19,4,0,7738,0.024,0,23,0.018239492,16,0.015067407,0.003172086,0,27,Siang,Sunday,Weekend,0,Rendah
VID086,game_freefire,12/9/2025,5/13/2026 12:38,456000,12000,670,1928,5925300,0.012,1400,14598,0.032013158,12,0.026315789,0.001469298,0.00422807,19124,Siang,Tuesday,Weekday,2,Sedang
VID087,game_freefire,3/9/2026,5/13/2026 23:15,391000,3748,291,643,3012000,0.003,432,4682,0.011974425,23,0.009585678,0.000744246,0.001644501,6259,Malam,Monday,Weekday,0,Rendah
VID088,game_freefire,2/27/2026,5/13/2026 15:49,264000,4146,246,1098,3309180,0.038,374,5490,0.020795455,15,0.015704545,0.000931818,0.004159091,7932,Siang,Friday,Weekday,2,Sedang
VID089,game_freefire,3/13/2026,5/13/2026 16:51,143000,1122,105,212,889200,0.01,111,1439,0.010062937,16,0.007846154,0.000734266,0.001482517,1968,Siang,Friday,Weekday,0,Rendah
VID090,game_freefire,2/28/2026,5/13/2026 20:15,105000,1831,202,219,1632600,0.011,179,2252,0.021447619,20,0.017438095,0.00192381,0.002085714,2892,Sore,Saturday,Weekend,0,Rendah
VID091,game_freefire,3/7/2026,5/13/2026 22:37,59000,606,60,83,568920,0.002,49,749,0.012694915,22,0.010271186,0.001016949,0.00140678,975,Malam,Saturday,Weekend,0,Rendah
VID092,game_freefire,3/7/2026,5/13/2026 17:47,9922,75,18,2,52950,0.002,16,95,0.009574683,17,0.00755896,0.00181415,0.000201572,117,Sore,Saturday,Weekend,0,Rendah
VID093,game_freefire,3/1/2026,5/13/2026 17:43,8361,80,22,7,79940,0.02,15,109,0.013036718,17,0.009568233,0.002631264,0.00083722,145,Sore,Sunday,Weekend,0,Rendah
VID094,game_hok,1/31/2026,5/13/2026 20:37,198000,230,47,10,822300,0.001,36,287,0.001449495,20,0.001161616,0.000237374,5.05E-05,354,Sore,Saturday,Weekend,0,Rendah
VID095,game_hok,12/17/2025,5/13/2026 3:56,71000,361,46,26,367920,0.001,22,433,0.006098592,3,0.005084507,0.000647887,0.000366197,531,Malam,Wednesday,Weekday,0,Rendah
VID096,game_hok,12/17/2025,5/13/2026 12:51,39000,334,64,26,268167,0.006,13,424,0.010871795,12,0.008564103,0.001641026,0.000666667,540,Siang,Wednesday,Weekday,0,Rendah
VID097,game_hok,3/14/2026,5/13/2026 1:12,15000,67,7,1,44641,0.001,10,75,0.005,1,0.004466667,0.000466667,6.67E-05,84,Malam,Saturday,Weekend,0,Rendah
VID098,game_hok,4/29/2026,5/13/2026 8:18,9978,22,4,1,19058,0.001,2,27,0.002705953,8,0.002204851,0.000400882,0.00010022,33,Pagi,Wednesday,Weekday,0,Rendah
VID099,game_hok,10/18/2025,5/13/2026 19:44,1443,24,13,1,5299,0.012,1,38,0.026334026,19,0.016632017,0.009009009,0.000693001,53,Sore,Saturday,Weekend,0,Rendah
VID100,game_mlbb,12/27/2025,5/13/2026 20:37,159000,5521,248,375,1859160,0.011,335,6144,0.038641509,20,0.03472327,0.001559748,0.002358491,7142,Sore,Saturday,Weekend,2,Sedang
VID101,game_mlbb,12/24/2025,5/13/2026 11:49,30000,642,53,55,438840,0.04,32,750,0.025,11,0.0214,0.001766667,0.001833333,913,Pagi,Wednesday,Weekday,2,Sedang
VID102,game_mlbb,1/15/2026,5/13/2026 14:59,28000,946,49,64,337454,0.043,23,1059,0.037821429,14,0.033785714,0.00175,0.002285714,1236,Siang,Thursday,Weekday,2,Sedang
VID103,game_mlbb,4/26/2026,5/13/2026 19:47,12000,67,16,2,37556,0.001,7,85,0.007083333,19,0.005583333,0.001333333,0.000166667,105,Sore,Sunday,Weekend,0,Rendah
VID104,game_mlbb,2/14/2026,5/13/2026 17:20,5900,31,9,2,22084,0.029,2,42,0.007118644,17,0.005254237,0.001525424,0.000338983,55,Sore,Saturday,Weekend,0,Rendah
VID105,game_mlbb,10/22/2025,5/13/2026 14:58,2310,23,9,1,13228,0.006,4,33,0.014285714,14,0.00995671,0.003896104,0.0004329,44,Siang,Wednesday,Weekday,0,Rendah
VID106,game_pubg,12/25/2025,5/13/2026 7:22,24000,458,91,32,192313,0.002,28,581,0.024208333,7,0.019083333,0.003791667,0.001333333,736,Pagi,Thursday,Weekday,0,Rendah
VID107,game_pubg,11/18/2025,5/13/2026 18:10,10000,31,13,13,28979,0.011,1,57,0.0057,18,0.0031,0.0013,0.0013,96,Sore,Tuesday,Weekday,0,Rendah
VID108,game_pubg,1/7/2026,5/13/2026 17:36,7614,57,21,12,31072,0.009,1,90,0.011820331,17,0.00748621,0.002758077,0.001576044,135,Sore,Wednesday,Weekday,0,Rendah
VID109,game_pubg,12/31/2025,5/13/2026 14:24,5328,35,6,0,18307,0.002,3,41,0.007695195,14,0.006569069,0.001126126,0,47,Siang,Wednesday,Weekday,0,Rendah
VID110,game_pubg,1/27/2026,5/13/2026 18:17,4080,21,18,0,20115,0.003,3,39,0.009558824,18,0.005147059,0.004411765,0,57,Sore,Tuesday,Weekday,0,Rendah
VID111,game_heartopia,1/11/2026,5/13/2026 20:04,65000,1338,41,306,668700,0.005,32,1685,0.025923077,20,0.020584615,0.000630769,0.004707692,2338,Sore,Sunday,Weekend,2,Sedang
VID112,game_heartopia,1/16/2026,5/13/2026 0:53,47000,402,22,31,163145,0.002,25,455,0.009680851,0,0.008553191,0.000468085,0.000659574,539,Malam,Friday,Weekday,0,Rendah
VID113,game_heartopia,1/14/2026,5/13/2026 8:07,22000,138,17,12,84768,0.003,12,167,0.007590909,8,0.006272727,0.000772727,0.000545455,208,Pagi,Wednesday,Weekday,0,Rendah
VID114,game_heartopia,2/20/2026,5/13/2026 3:36,4764,23,1,2,10712,0.003,0,26,0.005457599,3,0.004827876,0.000209908,0.000419815,31,Malam,Friday,Weekday,0,Rendah
VID115,game_wherewindsmeet,3/6/2026,5/13/2026 16:06,15000,72,11,3,61602,0.003,12,86,0.005733333,16,0.0048,0.000733333,0.0002,103,Siang,Friday,Weekday,0,Rendah
VID116,game_wherewindsmeet,2/13/2026,5/13/2026 22:39,8005,28,7,0,29120,0.003,1,35,0.004372267,22,0.003497814,0.000874453,0,42,Malam,Friday,Weekday,0,Rendah
VID117,game_wherewindsmeet,3/9/2026,5/13/2026 15:24,3579,23,4,0,15215,0.004,2,27,0.007544007,15,0.006426376,0.001117631,0,31,Siang,Monday,Weekday,0,Rendah
VID118,game_miniworldroyale,2/8/2026,5/13/2026 15:12,7795,71,5,2,66731,0.008,28,78,0.010006414,15,0.009108403,0.000641437,0.000256575,87,Siang,Sunday,Weekend,0,Rendah
VID119,game_miniworldroyale,2/8/2026,5/13/2026 18:22,7347,42,7,6,48558,0.004,8,55,0.007486049,18,0.005716619,0.00095277,0.00081666,74,Sore,Sunday,Weekend,0,Rendah
VID120,game_miniworldroyale,2/7/2026,5/13/2026 16:42,6441,85,6,3,48387,0.006,12,94,0.014594007,16,0.013196709,0.000931532,0.000465766,106,Siang,Saturday,Weekend,0,Rendah
