date,day_name,month_name,video_views,profile_views,likes,comments,shares,engagement_total,engagement_rate,cluster,performance_category
2025-07-13,Sunday,July,455639,1127,10253,86,995,11334,2.487495583126115,2,Rendah
2025-07-14,Monday,July,427947,1068,11822,113,1214,13149,3.072576744316469,2,Rendah
2025-07-15,Tuesday,July,313177,737,8759,48,987,9794,3.127305006434061,2,Rendah
2025-07-16,Wednesday,July,1505178,1897,23450,506,2697,26653,1.7707540237765897,2,Rendah
2025-07-17,Thursday,July,2968276,4096,57199,761,5323,63283,2.1319782931236855,2,Rendah
2025-07-18,Friday,July,3285378,4415,58100,726,4217,63043,1.9188963948745017,2,Rendah
2025-07-19,Saturday,July,3055272,5594,46294,606,3536,50436,1.6507859202061226,2,Rendah
2025-07-20,Sunday,July,1487968,2925,19659,360,1324,21343,1.4343722445643992,2,Rendah
2025-07-21,Monday,July,604605,1272,9352,73,742,10167,1.6815937678318904,2,Rendah
2025-07-22,Tuesday,July,423690,867,7991,70,587,8648,2.041114966130898,2,Rendah
2025-07-23,Wednesday,July,780254,1251,18061,92,1665,19818,2.5399421214117455,2,Rendah
2025-07-24,Thursday,July,438767,794,10505,57,735,11297,2.5747150537756944,2,Rendah
2025-07-25,Friday,July,859419,1411,16618,161,1239,18018,2.0965326575279346,2,Rendah
2025-07-26,Saturday,July,1332088,2306,38032,849,1318,40199,3.017743572496712,2,Rendah
2025-07-27,Sunday,July,2197290,4421,55593,1604,2438,59635,2.7140250035270723,2,Rendah
2025-07-28,Monday,July,1157345,2113,31216,314,1534,33064,2.8568836431660394,2,Rendah
2025-07-29,Tuesday,July,797229,1721,17705,169,1161,19035,2.3876452060825684,2,Rendah
2025-07-30,Wednesday,July,498051,1156,10448,117,790,11355,2.279886999524145,2,Rendah
2025-07-31,Thursday,July,2180067,4246,70825,1429,3568,75822,3.4779665028643616,2,Rendah
2025-08-01,Friday,August,5756249,8258,118315,6574,2874,127763,2.2195530457421144,2,Rendah
2025-08-02,Saturday,August,2555822,3935,47197,3855,1058,52110,2.038874381705768,2,Rendah
2025-08-03,Sunday,August,3243617,4675,70300,2298,1185,73783,2.274713691536331,2,Rendah
2025-08-04,Monday,August,1048560,1877,16537,640,556,17733,1.6911764705882353,2,Rendah
2025-08-05,Tuesday,August,633319,1616,14889,367,1085,16341,2.5802162891054903,2,Rendah
2025-08-06,Wednesday,August,730596,1573,29658,362,2271,32291,4.4198161501021085,2,Rendah
2025-08-07,Thursday,August,1994155,3718,78434,899,2664,81997,4.1118669311061575,2,Rendah
2025-08-08,Friday,August,2219031,5715,90059,895,2684,93638,4.219769800421895,2,Rendah
2025-08-09,Saturday,August,2701822,4634,108332,599,3724,112655,4.169593703804321,2,Rendah
2025-08-10,Sunday,August,1576730,2629,82767,334,2896,85997,5.454136091784897,2,Rendah
2025-08-11,Monday,August,1361757,2318,52352,225,2847,55424,4.070035990268455,2,Rendah
2025-08-12,Tuesday,August,1470877,2347,42118,207,1782,44107,2.99868717778577,2,Rendah
2025-08-13,Wednesday,August,2029029,3964,37256,401,1805,39462,1.9448711674401893,2,Rendah
2025-08-14,Thursday,August,1760430,3276,33027,343,1459,34829,1.9784370863936651,2,Rendah
2025-08-15,Friday,August,999944,1976,23315,226,1199,24740,2.4741385517588985,2,Rendah
2025-08-16,Saturday,August,459946,1004,8977,135,512,9624,2.0924195449030973,2,Rendah
2025-08-17,Sunday,August,271127,700,4734,52,338,5124,1.889889240097814,2,Rendah
2025-08-18,Monday,August,259468,660,4748,137,286,5171,1.9929239829188954,2,Rendah
2025-08-19,Tuesday,August,259069,731,4997,125,257,5379,2.0762808363794973,2,Rendah
2025-08-20,Wednesday,August,214381,725,3386,108,158,3652,1.7035091729211078,2,Rendah
2025-08-21,Thursday,August,177724,563,2987,50,156,3193,1.7966059733069255,2,Rendah
2025-08-22,Friday,August,187227,490,3457,32,148,3637,1.9425617031731532,2,Rendah
2025-08-23,Saturday,August,331137,633,6968,39,308,7315,2.2090554664685613,2,Rendah
2025-08-24,Sunday,August,783896,1434,22870,389,702,23961,3.056655474705828,2,Rendah
2025-08-25,Monday,August,557065,1071,18769,313,131,19213,3.4489691508172298,2,Rendah
2025-08-26,Tuesday,August,396194,895,11782,216,170,12168,3.071222683836706,2,Rendah
2025-08-27,Wednesday,August,1351732,1950,59459,569,205,60233,4.455986837627577,2,Rendah
2025-08-28,Thursday,August,1327576,1709,42815,7,443,43265,3.258947133723418,2,Rendah
2025-08-29,Friday,August,614110,1114,17205,188,339,17732,2.8874305906108026,2,Rendah
2025-08-30,Saturday,August,376494,797,10030,66,393,10489,2.7859673726540133,2,Rendah
2025-08-31,Sunday,August,465820,870,11177,117,540,11834,2.5404662745266413,2,Rendah
2025-09-01,Monday,September,928648,2513,18390,267,1163,19820,2.1342855419922295,2,Rendah
2025-09-02,Tuesday,September,978706,1542,17972,245,1117,19334,1.97546556371372,2,Rendah
2025-09-03,Wednesday,September,2176200,2531,52979,437,5519,58935,2.7081610146126276,2,Rendah
2025-09-04,Thursday,September,3663314,3808,108972,744,16964,126680,3.4580710253065936,2,Rendah
2025-09-05,Friday,September,3120920,3369,112801,830,26719,140350,4.497071376389013,2,Rendah
2025-09-06,Saturday,September,2320250,2753,84770,509,10221,95500,4.115935782782028,2,Rendah
2025-09-07,Sunday,September,1160308,1454,31457,289,3542,35288,3.041261458164556,2,Rendah
2025-09-08,Monday,September,507967,852,15453,80,1808,17341,3.413804440052208,2,Rendah
2025-09-09,Tuesday,September,2383370,3740,60151,1229,1472,62852,2.637106282280972,2,Rendah
2025-09-10,Wednesday,September,1532671,2453,36951,962,434,38347,2.501972047490949,2,Rendah
2025-09-11,Thursday,September,3885610,6920,84540,2317,578,87435,2.2502258332668488,2,Rendah
2025-09-12,Friday,September,1676875,3327,40171,1306,1272,42749,2.5493253820350352,2,Rendah
2025-09-13,Saturday,September,6143817,8399,129263,928,1053,131244,2.1361964394447295,2,Rendah
2025-09-14,Sunday,September,3054249,4122,73919,361,303,74583,2.4419423563697653,2,Rendah
2025-09-15,Monday,September,1698521,2469,42868,124,488,43480,2.55987414933345,2,Rendah
2025-09-16,Tuesday,September,706245,1198,16455,109,552,17116,2.4235215824536813,2,Rendah
2025-09-17,Wednesday,September,1532168,3094,23052,230,1089,24371,1.5906219161345232,2,Rendah
2025-09-18,Thursday,September,1735139,5210,63679,505,958,65142,3.7542813572860734,2,Rendah
2025-09-19,Friday,September,2142510,6273,122473,824,1072,124369,5.804827048648548,0,Sedang
2025-09-20,Saturday,September,1177049,2824,56783,202,754,57739,4.905403258487964,2,Rendah
2025-09-21,Sunday,September,644339,1518,21814,135,298,22247,3.452685620457554,2,Rendah
2025-09-22,Monday,September,959688,1432,13184,204,871,14259,1.4857953834996374,2,Rendah
2025-09-23,Tuesday,September,8384469,13804,93096,1714,8914,103724,1.2370968274794742,2,Rendah
2025-09-24,Wednesday,September,16053305,30328,159767,1800,9469,171036,1.0654254684627245,2,Rendah
2025-09-25,Thursday,September,7106452,13546,91801,908,5759,98468,1.3856140870296458,2,Rendah
2025-09-26,Friday,September,4321779,8961,67067,697,5495,73259,1.6951121285933408,2,Rendah
2025-09-27,Saturday,September,6281903,11584,95580,844,6301,102725,1.6352528843568581,2,Rendah
2025-09-28,Sunday,September,13077196,35623,311379,4693,24039,340111,2.6007945434174116,0,Sedang
2025-09-29,Monday,September,6067222,21357,111868,2009,7904,121781,2.0071953853015434,2,Rendah
2025-09-30,Tuesday,September,10694049,45105,201376,2833,17749,221958,2.075528174595048,0,Sedang
2025-10-01,Wednesday,October,7045398,28181,144715,1760,15358,161833,2.297002951430139,2,Rendah
2025-10-02,Thursday,October,6449946,26780,128207,1131,7469,136807,2.1210565173723936,2,Rendah
2025-10-03,Friday,October,4240167,19240,117780,1095,5315,124190,2.928894074219247,2,Rendah
2025-10-04,Saturday,October,3225687,16846,101045,854,4224,106123,3.2899348262866175,2,Rendah
2025-10-05,Sunday,October,2968548,14439,111835,737,5092,117664,3.9636886450884403,2,Rendah
2025-10-06,Monday,October,1548470,5533,45217,824,5123,51164,3.3041647561786798,2,Rendah
2025-10-07,Tuesday,October,2082042,6478,47294,821,6059,54174,2.6019648018627866,2,Rendah
2025-10-08,Wednesday,October,5879277,13484,156404,1556,4857,162817,2.7693371140703187,2,Rendah
2025-10-09,Thursday,October,5024066,10810,145506,1313,4393,151212,3.009753454671973,2,Rendah
2025-10-10,Friday,October,7157653,13244,164022,1378,3047,168447,2.3533831550649356,2,Rendah
2025-10-11,Saturday,October,5174189,14785,126697,664,4943,132304,2.5569997539711053,2,Rendah
2025-10-12,Sunday,October,5698417,10910,135861,1071,13839,150771,2.6458400640037403,2,Rendah
2025-10-13,Monday,October,2859236,8022,79661,593,4727,84981,2.9721575973441854,2,Rendah
2025-10-14,Tuesday,October,7294114,20037,220606,3773,9435,233814,3.2055161188870915,0,Sedang
2025-10-15,Wednesday,October,6339066,14847,168469,2277,5288,176034,2.7769706136519168,2,Rendah
2025-10-16,Thursday,October,4246533,9964,105787,1821,9713,117321,2.7627478698505343,2,Rendah
2025-10-17,Friday,October,6640521,12576,139261,6821,45186,191268,2.880316167963327,0,Sedang
2025-10-18,Saturday,October,5073183,11853,133787,4639,43448,181874,3.58500767664009,0,Sedang
2025-10-19,Sunday,October,4296278,9184,78093,3198,41232,122523,2.8518405931832156,2,Rendah
2025-10-20,Monday,October,2561573,5965,34138,1331,13211,48680,1.90039479647857,2,Rendah
2025-10-21,Tuesday,October,2538519,6440,28390,858,6051,35299,1.3905351900064564,2,Rendah
2025-10-22,Wednesday,October,3926184,8876,48322,2001,5487,55810,1.421482029369994,2,Rendah
2025-10-23,Thursday,October,4947667,9495,61274,2187,9995,73456,1.4846593353998965,2,Rendah
2025-10-24,Friday,October,6914941,18015,136189,7683,7250,151122,2.185441640066054,2,Rendah
2025-10-25,Saturday,October,6364913,16776,138817,6059,9906,154782,2.4318007174646374,2,Rendah
2025-10-26,Sunday,October,8903505,21607,284354,8157,54413,346924,3.896487956147607,0,Sedang
2025-10-27,Monday,October,9004221,21421,317159,8621,48117,373897,4.1524636056800475,0,Sedang
2025-10-28,Tuesday,October,8130969,19386,271676,6752,30372,308800,3.7978253268460374,0,Sedang
2025-10-29,Wednesday,October,5843887,13913,223547,4615,22420,250582,4.287933698923337,0,Sedang
2025-10-30,Thursday,October,5792848,12172,199437,3673,22590,225700,3.8961837079101675,0,Sedang
2025-10-31,Friday,October,10416651,19577,420440,8314,38350,467104,4.484205144244537,0,Sedang
2025-11-01,Saturday,November,16244507,32029,947688,14103,106632,1068423,6.577134042910628,1,Tinggi
2025-11-02,Sunday,November,13141992,21875,530024,7545,52479,590048,4.4897911975597005,0,Sedang
2025-11-03,Monday,November,12027387,20930,382049,5650,45391,433090,3.6008652585969005,0,Sedang
2025-11-04,Tuesday,November,4585209,10734,140332,1887,21778,163997,3.5766526673048054,2,Rendah
2025-11-05,Wednesday,November,3484112,7428,94347,1246,14368,109961,3.1560696097025582,2,Rendah
2025-11-06,Thursday,November,1995765,4504,55840,788,9284,65912,3.302593241188216,2,Rendah
2025-11-07,Friday,November,2187511,4775,69364,870,10028,80262,3.669101549660779,2,Rendah
2025-11-08,Saturday,November,2235364,4764,80025,989,10965,91979,4.114721360816405,2,Rendah
2025-11-09,Sunday,November,3054921,7685,90298,820,11804,102922,3.3690560246893453,2,Rendah
2025-11-10,Monday,November,3263067,11561,112062,3053,12444,127559,3.909175018471885,2,Rendah
2025-11-11,Tuesday,November,6158527,19448,295218,4817,49167,349202,5.670219518401072,0,Sedang
2025-11-12,Wednesday,November,5611950,13964,254144,2858,26005,283007,5.042935165138678,0,Sedang
2025-11-13,Thursday,November,5974205,12710,303130,805,34520,338455,5.665272617862962,0,Sedang
2025-11-14,Friday,November,3422644,6906,122876,1144,11452,135472,3.9581095784428646,2,Rendah
2025-11-15,Saturday,November,3034833,6799,78060,652,6916,85628,2.821506158658483,2,Rendah
2025-11-16,Sunday,November,3102065,8103,87505,1136,6882,95523,3.079335861756604,2,Rendah
2025-11-17,Monday,November,4105221,8394,181509,1351,9496,192356,4.685642989744036,0,Sedang
2025-11-18,Tuesday,November,3857589,6621,155014,891,8946,164851,4.2734205225077115,2,Rendah
2025-11-19,Wednesday,November,7095317,22891,319494,3568,19038,342100,4.821490005309135,0,Sedang
2025-11-20,Thursday,November,8397216,17988,405005,2043,14135,421183,5.015745694763598,0,Sedang
2025-11-21,Friday,November,14182071,22535,600740,3100,16599,620439,4.3748123951713405,0,Sedang
2025-11-22,Saturday,November,9438727,14335,429406,3593,28042,461041,4.884567590523595,0,Sedang
2025-11-23,Sunday,November,4957685,8715,197635,2392,17682,217709,4.391343943796349,0,Sedang
2025-11-24,Monday,November,4671102,7547,112531,2830,11630,126991,2.7186518299108005,2,Rendah
2025-11-25,Tuesday,November,7755806,11226,210301,2557,14982,227840,2.937670178960124,2,Rendah
2025-11-26,Wednesday,November,8490989,12931,638825,3525,62012,704362,8.295405870859096,0,Sedang
2025-11-27,Thursday,November,4975255,8065,350737,1182,30985,382904,7.69616833710031,0,Sedang
2025-11-28,Friday,November,4075548,6442,248222,190,28030,276442,6.782940600871343,0,Sedang
2025-11-29,Saturday,November,4533528,7302,129022,273,14149,143444,3.1640700134641278,2,Rendah
2025-11-30,Sunday,November,2453518,4361,84372,1721,14209,100302,4.088089021560061,2,Rendah
2025-12-01,Monday,December,2708153,4217,120367,980,18301,139648,5.156577194863067,0,Sedang
2025-12-02,Tuesday,December,8199475,11815,484827,3559,54155,542541,6.616777293668193,0,Sedang
2025-12-03,Wednesday,December,8592168,12414,363487,5906,72034,441427,5.137550848633313,0,Sedang
2025-12-04,Thursday,December,6285816,9838,248947,3156,40994,293097,4.6628313650924555,0,Sedang
2025-12-05,Friday,December,4709821,8358,231135,2301,17659,251095,5.331306646261079,0,Sedang
2025-12-06,Saturday,December,5383102,10347,311053,1989,16698,329740,6.125464462683412,0,Sedang
2025-12-07,Sunday,December,3944202,8057,210169,1710,14423,226302,5.737586462356644,0,Sedang
2025-12-08,Monday,December,8971236,17453,405657,3790,20664,430111,4.794333801942118,0,Sedang
2025-12-09,Tuesday,December,14444289,24198,624999,6344,29475,660818,4.574943079579756,0,Sedang
2025-12-10,Wednesday,December,18837437,30351,729819,7333,32005,769157,4.083129780341137,0,Sedang
2025-12-11,Thursday,December,15150153,45547,481218,6352,33020,520590,3.4362029215150502,0,Sedang
2025-12-12,Friday,December,27068427,177013,1224701,8367,48273,1281341,4.733710606826174,1,Tinggi
2025-12-13,Saturday,December,17136660,139510,755041,7664,40255,802960,4.685627187561637,1,Tinggi
2025-12-14,Sunday,December,25303647,240861,1140566,10319,74903,1225788,4.844313548952054,1,Tinggi
2025-12-15,Monday,December,13149162,91479,708625,7192,46118,761935,5.7945517744781,1,Tinggi
2025-12-16,Tuesday,December,17027703,100578,921486,10839,64402,996727,5.8535611056875965,1,Tinggi
2025-12-17,Wednesday,December,32031532,120243,1550059,22755,183739,1756553,5.483824501431902,1,Tinggi
2025-12-18,Thursday,December,24530535,80421,1404724,14765,137983,1557472,6.349115500334583,1,Tinggi
2025-12-19,Friday,December,17431809,49879,836264,9759,150013,996036,5.713899228703114,1,Tinggi
2025-12-20,Saturday,December,14486065,52211,656180,4585,39807,700572,4.836178769044595,0,Sedang
2025-12-21,Sunday,December,6767370,26599,331388,3660,17373,352421,5.207650830381669,0,Sedang
2025-12-22,Monday,December,9108241,25650,366808,4065,30406,401279,4.405669546952041,0,Sedang
2025-12-23,Tuesday,December,33987790,72094,1988881,38850,315315,2343046,6.8937874454326105,1,Tinggi
2025-12-24,Wednesday,December,27468781,85840,1834416,18103,171315,2023834,7.367760513289615,1,Tinggi
2025-12-25,Thursday,December,18829385,48519,1008755,11348,78410,1098513,5.8340354716842855,1,Tinggi
2025-12-26,Friday,December,16402850,40231,942670,9220,83629,1035519,6.31304316018253,1,Tinggi
2025-12-27,Saturday,December,28627781,96089,1552723,11461,99670,1663854,5.812025738215616,1,Tinggi
2025-12-28,Sunday,December,7160495,19620,369163,2199,26436,397798,5.555453917641168,0,Sedang
2025-12-29,Monday,December,15112239,34237,687656,6689,39102,733447,4.8533311311447624,0,Sedang
2025-12-30,Tuesday,December,14030628,26588,630434,7706,35686,673826,4.802536279915624,0,Sedang
2025-12-31,Wednesday,December,12827450,30352,487339,10927,26067,524333,4.087585607427821,0,Sedang
2026-01-01,Thursday,January,6619777,21465,236987,7542,9656,254185,3.839781914103753,0,Sedang
2026-01-02,Friday,January,6823432,19966,256665,6239,12118,275022,4.030552367195863,0,Sedang
2026-01-03,Saturday,January,2347303,9168,68231,2759,5040,76030,3.239036460141703,2,Rendah
2026-01-04,Sunday,January,5199110,17271,132845,4189,5027,142061,2.7324099701679714,2,Rendah
2026-01-05,Monday,January,2754480,13128,54050,2537,3042,59629,2.164800615724202,2,Rendah
2026-01-06,Tuesday,January,4293523,13176,130333,2656,5752,138741,3.231402277337282,2,Rendah
2026-01-07,Wednesday,January,2770501,18090,101806,1458,7367,110631,3.9931766853720676,2,Rendah
2026-01-08,Thursday,January,2050247,8331,72476,468,4634,77578,3.7838367767395833,2,Rendah
2026-01-09,Friday,January,1465232,5464,31562,458,2322,34342,2.3437926553610624,2,Rendah
2026-01-10,Saturday,January,1797202,6473,61254,1436,4080,66770,3.7152195468289038,2,Rendah
2026-01-11,Sunday,January,1991781,7472,92462,660,5748,98870,4.9638991435303375,2,Rendah
2026-01-12,Monday,January,1710179,4084,62880,-262,4016,66634,3.8963172860852575,2,Rendah
2026-01-13,Tuesday,January,2960496,10091,138939,2415,7243,148597,5.019327842361551,0,Sedang
2026-01-14,Wednesday,January,7093975,24393,353952,11838,53562,419352,5.911382546456676,0,Sedang
2026-01-15,Thursday,January,3292765,11927,150437,997,8781,160215,4.865667607618521,0,Sedang
2026-01-16,Friday,January,8497358,23342,400146,7536,38826,446508,5.254668568748074,0,Sedang
2026-01-17,Saturday,January,17419735,38387,652669,33420,64183,750272,4.307023040247168,1,Tinggi
2026-01-18,Sunday,January,19293279,61430,679656,16694,57850,754200,3.9091333308350538,1,Tinggi
2026-01-19,Monday,January,13353003,32853,338204,12599,37102,387905,2.905001968471062,0,Sedang
2026-01-20,Tuesday,January,20559360,58792,661624,28268,97363,787255,3.8291804803262357,1,Tinggi
2026-01-21,Wednesday,January,20266026,58410,693486,21253,70577,785316,3.875036970741082,1,Tinggi
2026-01-22,Thursday,January,18686586,52800,485854,12845,44022,542721,2.904334692276053,0,Sedang
2026-01-23,Friday,January,7944052,27060,240276,4803,16032,261111,3.286874255103063,0,Sedang
2026-01-24,Saturday,January,13487449,29483,496701,10208,50758,557667,4.134710722539155,0,Sedang
2026-01-25,Sunday,January,7505091,18980,234233,2021,25717,261971,3.490577262820664,0,Sedang
2026-01-26,Monday,January,7386602,16307,244204,6485,28484,279173,3.7794509572872617,0,Sedang
2026-01-27,Tuesday,January,24027873,54470,1148685,31701,107820,1288206,5.361298521929095,1,Tinggi
2026-01-28,Wednesday,January,16440090,35659,711871,16011,86246,814128,4.952089678341177,1,Tinggi
2026-01-29,Thursday,January,19566177,41424,766488,16836,57339,840663,4.296511270443889,1,Tinggi
2026-01-30,Friday,January,9150507,17823,320186,5092,33125,358403,3.9167556508071084,0,Sedang
2026-01-31,Saturday,January,6244534,13121,181804,2988,14758,199550,3.195594739335233,2,Rendah
2026-02-01,Sunday,February,1697121,4645,42510,-2159,3759,44110,2.5991075474288516,2,Rendah
2026-02-02,Monday,February,3522562,9542,98753,1421,7633,107807,3.06047132740318,2,Rendah
2026-02-03,Tuesday,February,8066610,26209,419768,5294,42786,467848,5.799809337503611,0,Sedang
2026-02-04,Wednesday,February,16049319,68565,642254,15163,151187,808604,5.038244924909275,1,Tinggi
2026-02-05,Thursday,February,24684120,73798,825314,10497,106986,942797,3.8194474828351184,1,Tinggi
2026-02-06,Friday,February,26512393,89521,817810,12150,142878,972838,3.669370773132399,1,Tinggi
2026-02-07,Saturday,February,27658238,70441,1581533,7866,89349,1678748,6.069612966668376,1,Tinggi
2026-02-08,Sunday,February,14050221,37017,759476,4070,47239,810785,5.770620974573994,0,Sedang
2026-02-09,Monday,February,15624057,34885,852282,3817,33084,889183,5.691114670152573,0,Sedang
2026-02-10,Tuesday,February,10733536,43701,398248,7606,45779,451633,4.207681420176911,0,Sedang
2026-02-11,Wednesday,February,7308907,37720,304108,2510,29508,336126,4.598854520929053,0,Sedang
2026-02-12,Thursday,February,2816746,8868,82816,788,11553,95157,3.3782598785975027,2,Rendah
2026-02-13,Friday,February,8105830,22112,310878,1878,29887,342643,4.227118012590938,0,Sedang
2026-02-14,Saturday,February,6297553,17277,161496,1652,11735,174883,2.7769992566954183,2,Rendah
2026-02-15,Sunday,February,11758758,27636,410798,5404,28817,445019,3.78457486751577,0,Sedang
2026-02-16,Monday,February,13248064,28436,299993,6607,78699,385299,2.9083419282998633,0,Sedang
2026-02-17,Tuesday,February,7219742,15055,168592,1438,21990,192020,2.6596518268935374,2,Rendah
2026-02-18,Wednesday,February,4250792,11420,92362,954,23678,116994,2.752287103203356,2,Rendah
2026-02-19,Thursday,February,5702665,12334,163972,1935,9065,174972,3.0682496692335954,2,Rendah
2026-02-20,Friday,February,5657964,12468,145659,1082,10807,157548,2.784535214434026,2,Rendah
2026-02-21,Saturday,February,2050088,5300,48620,-1276,4450,51794,2.5264281338166947,2,Rendah
2026-02-22,Sunday,February,1561140,4127,41425,117,3486,45028,2.884302496893296,2,Rendah
